"","Season","SexRepro","AgeClass","SampleTimeHour","Strongyles","Coccidia","Capillaria","Nematodirus","TrichurisBin","StrongylesBin","CoccidiaBin","CapillariaBin","NematodirusBin","StrongyloidesBin","MonieziaBin","Id","Sex","Age","logStrongyles","logNematodirus","logCapillaria","logCoccidia","SampleTimeScale","AgeScale","obs"
"329","Summer19","FemaleLamb","Adult",11,1,57,0,0,0,1,1,0,0,0,0,"9257","Female",6,0.693147180559945,0,0,4.06044301054642,-0.514959851900222,0.685527413731884,"329"
"330","Summer19","FemaleLamb","Adult",11,18,129,0,0,0,1,1,0,0,0,0,"8804","Female",7,2.94443897916644,0,0,4.86753445045558,-0.514959851900222,1.0001750192973,"330"
"331","Summer19","FemaleLamb","Adult",11,6,360,0,0,0,1,1,0,0,0,0,"8759","Female",7,1.94591014905531,0,0,5.88887795833288,-0.514959851900222,1.0001750192973,"331"
"332","Summer19","FemaleLamb","Adult",10,0,324,0,0,0,0,1,0,0,0,0,"10191","Female",4,0,0,0,5.78382518232974,-0.9441648832748,0.0562322026010486,"332"
"333","Summer19","FemaleNoLamb","Adult",11,5,102,0,0,0,1,1,0,0,0,0,"7593","Female",9,1.79175946922805,0,0,4.63472898822964,-0.514959851900222,1.62947023042814,"333"
"334","Summer19","FemaleLamb","Adult",10,3,45,0,0,0,1,1,0,0,0,0,"8506","Female",8,1.38629436111989,0,0,3.8286413964891,-0.9441648832748,1.31482262486272,"334"
"335","Summer19","FemaleLamb","Adult",12,6,63,0,0,0,1,1,0,0,0,0,"9849","Female",5,1.94591014905531,0,0,4.15888308335967,-0.0857548205256438,0.370879808166466,"335"
"336","Summer19","FemaleLamb","Adult",11,81,1170,0,0,0,1,1,0,0,0,0,"9212","Female",6,4.40671924726425,0,0,7.06561336359772,-0.514959851900222,0.685527413731884,"336"
"337","Summer19","FemaleLamb","Adult",12,5,57,0,0,0,1,1,0,0,0,0,"9211","Female",6,1.79175946922805,0,0,4.06044301054642,-0.0857548205256438,0.685527413731884,"337"
"338","Summer19","Male","Adult",12,171,702,0,0,0,1,1,0,0,0,0,"10552","Male",3,5.14749447681345,0,0,6.55535689181067,-0.0857548205256438,-0.258415402964369,"338"
